                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1615,                 4.3156,                 1.5683,                0.00407,                0.09176,                0.01533,                0.00462,                 1.7548,                 4.0343,                 1.4623,              7.777e-05,              7.777e-05,              7.777e-05
                      2,                 1.8915,                 4.1963,                 1.3985,                0.00558,                 0.0956,                0.01992,                0.00893,                 1.4508,                 3.9741,                 1.1816,             0.00016005,             0.00016005,             0.00016005
                      3,                 1.7705,                 3.9715,                 1.2008,                 0.0064,                0.14231,                0.04839,                0.01815,                 1.4171,                 3.9406,                 1.1126,             0.00023529,             0.00023529,             0.00023529
                      4,                 1.7262,                  3.709,                  1.178,                0.00696,                0.17857,                0.05368,                0.02241,                 1.4181,                 3.9077,                 1.1143,             0.00030349,             0.00030349,             0.00030349
                      5,                  1.695,                 3.3247,                 1.1623,                0.01528,                0.43999,                0.10109,                0.04982,                 1.4647,                 3.8449,                  1.143,             0.00036466,             0.00036466,             0.00036466
                      6,                 1.7265,                 2.9767,                  1.138,                0.01428,                0.43999,                0.10875,                0.05684,                 1.3918,                 3.7757,                 1.1135,             0.00041878,             0.00041878,             0.00041878
                      7,                 1.7397,                 2.5251,                 1.1104,                0.86367,                0.02864,                0.12711,                0.07105,                 1.4869,                 3.7313,                 1.1588,             0.00046586,             0.00046586,             0.00046586
                      8,                 1.7448,                 2.2666,                 1.1253,                0.01625,                 0.6308,                0.16488,                0.09379,                 1.5389,                 3.6209,                 1.1323,             0.00050591,             0.00050591,             0.00050591
                      9,                 1.6881,                 1.9081,                  1.107,                 0.7871,                0.13033,                0.22322,                0.14099,                  1.573,                 3.4994,                 1.1893,             0.00053891,             0.00053891,             0.00053891
                     10,                 1.6298,                 1.6752,                 1.0853,                0.83429,                0.17637,                0.23739,                0.13428,                 1.6518,                 3.3659,                  1.238,             0.00056488,             0.00056488,             0.00056488
                     11,                 1.6643,                 1.5482,                 1.0857,                0.77113,                0.19835,                0.43618,                0.21474,                 1.6144,                 3.1777,                 1.2518,             0.00058381,             0.00058381,             0.00058381
                     12,                 1.5432,                 1.3739,                 1.0737,                 0.7468,                0.28048,                0.50494,                0.22345,                 1.6695,                 2.9187,                 1.2564,              0.0005957,              0.0005957,              0.0005957
                     13,                 1.5676,                 1.3422,                  1.106,                0.71439,                0.27732,                0.50055,                0.22824,                 1.6557,                 2.8713,                 1.2613,             0.00058305,             0.00058305,             0.00058305
                     14,                 1.5364,                 1.2438,                 1.0736,                0.73528,                0.22384,                0.54339,                 0.2579,                 1.6556,                 2.8761,                 1.2477,             0.00053906,             0.00053906,             0.00053906
                     15,                 1.4913,                 1.2391,                 1.0853,                0.66906,                0.24805,                0.62193,                0.32441,                 1.6521,                 2.5138,                 1.2168,             0.00049506,             0.00049506,             0.00049506
                     16,                 1.4687,                 1.3511,                 1.0589,                0.72374,                0.38855,                0.68639,                0.34858,                 1.5962,                 2.3068,                 1.2127,             0.00045107,             0.00045107,             0.00045107
                     17,                 1.3986,                 1.1466,                 1.0293,                0.63626,                 0.4994,                0.68972,                0.35981,                 1.5751,                 2.1074,                 1.2067,             0.00040707,             0.00040707,             0.00040707
                     18,                 1.4091,                 1.1323,                 1.0326,                0.67628,                0.66322,                0.72697,                0.39473,                 1.6145,                 1.8751,                 1.2028,             0.00036307,             0.00036307,             0.00036307
                     19,                 1.4091,                 1.1196,                 1.0465,                0.66053,                0.73995,                0.74062,                0.42898,                 1.5839,                 1.7052,                 1.1998,             0.00031908,             0.00031908,             0.00031908
                     20,                 1.3766,                  1.055,                  1.023,                0.70154,                0.72036,                0.73064,                0.43008,                 1.5275,                 1.5373,                 1.1703,             0.00027508,             0.00027508,             0.00027508
                     21,                 1.3409,                 1.0521,                 1.0165,                0.73218,                0.80177,                 0.7739,                0.44154,                 1.4974,                 1.4099,                 1.1543,             0.00023109,             0.00023109,             0.00023109
                     22,                 1.3583,                 1.0407,                 1.0105,                0.74421,                 0.7634,                 0.7866,                0.44821,                 1.4519,                 1.3683,                 1.1407,             0.00018709,             0.00018709,             0.00018709
                     23,                 1.3163,                0.98884,                 1.0062,                0.75891,                0.79268,                0.78443,                0.45875,                 1.4216,                 1.3166,                 1.1339,              0.0001431,              0.0001431,              0.0001431
                     24,                 1.3084,                0.98067,                 1.0098,                0.78011,                0.78933,                0.78968,                0.46007,                  1.416,                 1.2723,                 1.1372,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     25,                  1.314,                0.94661,                 1.0006,                 0.7875,                0.79487,                0.79594,                0.47061,                 1.4188,                 1.2445,                 1.1411,             5.5106e-05,             5.5106e-05,             5.5106e-05
